z_center,z_width,pt_center,pt_width,cos_center,cos_width,nsig,nsig_err,nsig_err2,bin_index
0.4,0.04,1.3092,0.1725,-0.5,0.1,2239.3828,62.3372,62.3372,272
0.4,0.04,1.3092,0.1725,-0.3,0.1,2332.3605,61.7071,61.7071,273
0.4,0.04,1.3092,0.1725,-0.1,0.1,2358.781,63.2077,63.2077,274
0.4,0.04,1.3092,0.1725,0.1,0.1,2289.7091,63.3648,63.3648,275
0.4,0.04,1.3092,0.1725,0.3,0.1,2473.5092,64.0294,64.0294,276
0.4,0.04,1.3092,0.1725,0.5,0.1,2284.6314,62.3644,62.3644,277
0.4,0.04,1.3092,0.1725,0.7,0.1,2226.0718,61.3604,61.3604,278
0.4,0.04,1.3092,0.1725,0.9,0.1,2126.2322,59.5795,59.5795,279
0.4,0.04,1.7041,0.2224,-0.9,0.1,701.005,34.4847,34.4847,280
0.4,0.04,1.7041,0.2224,-0.7,0.1,699.7348,34.5318,34.5318,281
0.4,0.04,1.7041,0.2224,-0.5,0.1,855.3284,36.0648,36.0648,282
0.4,0.04,1.7041,0.2224,-0.3,0.1,812.1656,36.3934,36.3934,283
0.4,0.04,1.7041,0.2224,-0.1,0.1,844.9445,35.458,35.458,284
0.4,0.04,1.7041,0.2224,0.1,0.1,815.505,36.8634,36.8634,285
0.4,0.04,1.7041,0.2224,0.3,0.1,776.9866,36.3342,36.3342,286
0.4,0.04,1.7041,0.2224,0.5,0.1,805.1105,36.1846,36.1846,287
0.4,0.04,1.7041,0.2224,0.7,0.1,706.0397,34.2495,34.2495,288
0.4,0.04,1.7041,0.2224,0.9,0.1,685.8084,34.5215,34.5215,289
0.48,0.04,0.0625,0.0625,-0.9,0.1,2308.8259,60.7163,60.7163,300
0.48,0.04,0.0625,0.0625,-0.7,0.1,2091.565,60.0219,60.0219,301
0.48,0.04,0.0625,0.0625,-0.5,0.1,1990.9635,58.9416,58.9416,302
0.48,0.04,0.0625,0.0625,-0.3,0.1,2006.569,59.1615,59.1615,303
0.48,0.04,0.0625,0.0625,-0.1,0.1,1997.4572,58.9905,58.9905,304
0.48,0.04,0.0625,0.0625,0.1,0.1,1892.2252,57.8829,57.8829,305
0.48,0.04,0.0625,0.0625,0.3,0.1,2055.3675,57.888,57.888,306
0.48,0.04,0.0625,0.0625,0.5,0.1,2011.6604,58.3258,58.3258,307
0.48,0.04,0.0625,0.0625,0.7,0.1,2013.6276,58.1738,58.1738,308
0.48,0.04,0.0625,0.0625,0.9,0.1,2242.2353,60.7632,60.7632,309
0.48,0.04,0.1875,0.0625,-0.9,0.1,6187.1746,100.3469,100.3469,310
0.48,0.04,0.1875,0.0625,-0.7,0.1,5669.6079,97.4114,97.4114,311
0.48,0.04,0.1875,0.0625,-0.5,0.1,5511.809,96.9231,96.9231,312
0.48,0.04,0.1875,0.0625,-0.3,0.1,5392.8603,95.0586,95.0586,313
0.48,0.04,0.1875,0.0625,-0.1,0.1,5058.6891,94.5034,94.5034,314
0.48,0.04,0.1875,0.0625,0.1,0.1,4875.6244,93.056,93.056,315
0.48,0.04,0.1875,0.0625,0.3,0.1,5155.1863,94.6708,94.6708,316
0.48,0.04,0.1875,0.0625,0.5,0.1,5389.621,95.4401,95.4401,317
0.48,0.04,0.1875,0.0625,0.7,0.1,5798.5604,98.892,98.892,318
0.48,0.04,0.1875,0.0625,0.9,0.1,6161.1629,100.48,100.48,319
0.48,0.04,0.3125,0.0625,-0.9,0.1,8383.781,117.239,117.239,320
0.48,0.04,0.3125,0.0625,-0.7,0.1,8128.5607,115.556,115.556,321
0.48,0.04,0.3125,0.0625,-0.5,0.1,7781.6542,114.1081,114.1081,322
0.48,0.04,0.3125,0.0625,-0.3,0.1,7098.866,110.9839,110.9839,323
0.48,0.04,0.3125,0.0625,-0.1,0.1,7307.6704,111.9593,111.9593,324
0.48,0.04,0.3125,0.0625,0.1,0.1,7099.0827,110.2115,110.2115,325
0.48,0.04,0.3125,0.0625,0.3,0.1,7150.3771,111.3399,111.3399,326
0.48,0.04,0.3125,0.0625,0.5,0.1,7486.2063,112.5033,112.5033,327
0.48,0.04,0.3125,0.0625,0.7,0.1,7918.9654,114.4913,114.4913,328
0.48,0.04,0.3125,0.0625,0.9,0.1,8525.6638,117.6724,117.6724,329
0.48,0.04,0.4375,0.0625,-0.9,0.1,8372.7137,117.3626,117.3626,330
0.48,0.04,0.4375,0.0625,-0.7,0.1,8128.368,116.96,116.96,331
0.48,0.04,0.4375,0.0625,-0.5,0.1,7604.8043,114.294,114.294,332
0.48,0.04,0.4375,0.0625,-0.3,0.1,7545.5792,112.7103,112.7103,333
0.48,0.04,0.4375,0.0625,-0.1,0.1,7381.5672,112.2957,112.2957,334
